Date,Région,Maladie,Sexe,Tranche_d_âge,Nombre_de_cas
2024-01-01,Kisangani,Rougeole,Masculin,6-17,19
2024-01-01,Mbuji-Mayi,Choléra,Féminin,36-60,13
2024-01-01,Goma,Rougeole,Masculin,18-35,16
2024-01-01,Mbuji-Mayi,Choléra,Féminin,60+,6
2024-01-01,Kisangani,Rougeole,Masculin,60+,19
2024-01-02,Kisangani,Paludisme,Féminin,18-35,18
2024-01-02,Lubumbashi,Paludisme,Masculin,0-5,8
2024-01-02,Lubumbashi,Rougeole,Masculin,6-17,1
2024-01-02,Kinshasa,Rougeole,Masculin,60+,20
2024-01-02,Goma,Rougeole,Féminin,18-35,18
2024-01-03,Kinshasa,Paludisme,Masculin,6-17,17
2024-01-03,Mbuji-Mayi,Choléra,Masculin,36-60,19
2024-01-03,Mbuji-Mayi,Tuberculose,Féminin,6-17,17
2024-01-03,Kinshasa,COVID-19,Masculin,60+,15
2024-01-03,Mbuji-Mayi,COVID-19,Féminin,6-17,4
2024-01-03,Lubumbashi,Choléra,Féminin,60+,18
2024-01-04,Kisangani,Tuberculose,Féminin,0-5,12
2024-01-04,Kisangani,Paludisme,Féminin,18-35,9
2024-01-04,Kisangani,Rougeole,Féminin,18-35,17
2024-01-04,Mbuji-Mayi,Rougeole,Masculin,6-17,10
2024-01-04,Mbuji-Mayi,Rougeole,Féminin,36-60,2
2024-01-04,Kinshasa,Choléra,Masculin,36-60,3
2024-01-04,Kisangani,Rougeole,Masculin,36-60,18
2024-01-04,Kisangani,Paludisme,Féminin,6-17,17
2024-01-04,Goma,Choléra,Féminin,18-35,3
2024-01-04,Mbuji-Mayi,Paludisme,Féminin,36-60,8
2024-01-04,Kinshasa,COVID-19,Masculin,0-5,6
2024-01-04,Goma,Rougeole,Masculin,6-17,16
2024-01-05,Kisangani,Tuberculose,Féminin,18-35,14
2024-01-05,Goma,Tuberculose,Masculin,0-5,3
2024-01-05,Mbuji-Mayi,Tuberculose,Masculin,0-5,5
2024-01-05,Lubumbashi,Rougeole,Féminin,36-60,5
2024-01-05,Lubumbashi,Paludisme,Masculin,6-17,15
2024-01-05,Kisangani,COVID-19,Féminin,0-5,18
2024-01-05,Lubumbashi,Paludisme,Féminin,6-17,15
2024-01-05,Mbuji-Mayi,Rougeole,Masculin,36-60,11
2024-01-05,Kisangani,COVID-19,Féminin,36-60,7
2024-01-06,Kisangani,COVID-19,Féminin,18-35,13
2024-01-06,Kisangani,Tuberculose,Masculin,18-35,14
2024-01-06,Kinshasa,Tuberculose,Masculin,6-17,15
2024-01-06,Lubumbashi,Choléra,Masculin,0-5,13
2024-01-06,Goma,Tuberculose,Masculin,60+,8
2024-01-06,Mbuji-Mayi,COVID-19,Féminin,6-17,9
2024-01-06,Lubumbashi,COVID-19,Féminin,60+,11
2024-01-06,Lubumbashi,Rougeole,Féminin,36-60,1
2024-01-06,Kisangani,Tuberculose,Féminin,6-17,3
2024-01-06,Kinshasa,COVID-19,Masculin,6-17,10
2024-01-06,Kisangani,Choléra,Féminin,36-60,11
2024-01-06,Mbuji-Mayi,Rougeole,Masculin,36-60,7
2024-01-07,Lubumbashi,COVID-19,Féminin,0-5,20
2024-01-07,Mbuji-Mayi,Choléra,Masculin,6-17,18
2024-01-07,Kinshasa,COVID-19,Féminin,0-5,17
2024-01-07,Kisangani,Choléra,Masculin,6-17,13
2024-01-07,Kinshasa,COVID-19,Féminin,60+,6
2024-01-07,Kisangani,Paludisme,Masculin,18-35,14
2024-01-07,Kinshasa,Tuberculose,Masculin,6-17,12
2024-01-07,Mbuji-Mayi,Choléra,Féminin,6-17,17
2024-01-07,Lubumbashi,Tuberculose,Masculin,60+,17
2024-01-07,Kinshasa,Choléra,Masculin,0-5,9
2024-01-07,Lubumbashi,COVID-19,Féminin,60+,6
2024-01-08,Goma,Tuberculose,Masculin,0-5,17
2024-01-08,Goma,Tuberculose,Féminin,18-35,5
2024-01-08,Kisangani,Paludisme,Féminin,36-60,12
2024-01-08,Kinshasa,Rougeole,Féminin,60+,2
2024-01-08,Kisangani,Choléra,Masculin,0-5,10
2024-01-08,Kisangani,Paludisme,Féminin,6-17,19
2024-01-08,Lubumbashi,COVID-19,Féminin,0-5,18
2024-01-08,Mbuji-Mayi,Rougeole,Féminin,60+,8
2024-01-08,Lubumbashi,Tuberculose,Féminin,60+,7
2024-01-08,Kinshasa,Tuberculose,Masculin,18-35,10
2024-01-08,Mbuji-Mayi,Tuberculose,Féminin,60+,3
2024-01-08,Lubumbashi,Rougeole,Féminin,6-17,16
2024-01-08,Kinshasa,Choléra,Féminin,60+,1
2024-01-08,Kinshasa,Tuberculose,Féminin,36-60,7
2024-01-08,Mbuji-Mayi,Paludisme,Féminin,60+,1
2024-01-09,Mbuji-Mayi,Tuberculose,Féminin,6-17,7
2024-01-09,Kinshasa,Paludisme,Féminin,6-17,12
2024-01-09,Kisangani,Rougeole,Féminin,18-35,20
2024-01-09,Kisangani,Tuberculose,Féminin,6-17,16
2024-01-09,Mbuji-Mayi,Rougeole,Féminin,36-60,7
2024-01-09,Kisangani,COVID-19,Féminin,0-5,5
2024-01-09,Mbuji-Mayi,Tuberculose,Masculin,60+,8
2024-01-09,Goma,Choléra,Féminin,60+,2
2024-01-09,Lubumbashi,Rougeole,Masculin,18-35,7
2024-01-10,Goma,COVID-19,Féminin,0-5,2
2024-01-10,Kisangani,Tuberculose,Féminin,36-60,14
2024-01-10,Kinshasa,Choléra,Masculin,6-17,13
2024-01-10,Lubumbashi,Tuberculose,Féminin,0-5,10
2024-01-10,Mbuji-Mayi,Paludisme,Masculin,6-17,1
2024-01-10,Kisangani,Tuberculose,Féminin,36-60,6
2024-01-10,Mbuji-Mayi,Tuberculose,Féminin,36-60,5
2024-01-10,Kinshasa,Paludisme,Masculin,18-35,16
2024-01-10,Lubumbashi,Choléra,Féminin,36-60,10
2024-01-10,Mbuji-Mayi,Paludisme,Féminin,6-17,11
2024-01-10,Goma,Tuberculose,Féminin,18-35,8
2024-01-10,Kisangani,Tuberculose,Féminin,18-35,18
2024-01-10,Kinshasa,Paludisme,Masculin,60+,20
2024-01-10,Mbuji-Mayi,Tuberculose,Masculin,6-17,20
2024-01-10,Kisangani,Tuberculose,Masculin,6-17,1
2024-01-11,Kisangani,Choléra,Masculin,60+,19
2024-01-11,Lubumbashi,Tuberculose,Féminin,60+,4
2024-01-11,Kinshasa,COVID-19,Masculin,60+,10
2024-01-11,Lubumbashi,COVID-19,Féminin,36-60,11
2024-01-11,Goma,COVID-19,Féminin,0-5,13
2024-01-11,Goma,Tuberculose,Féminin,18-35,17
2024-01-11,Kinshasa,Choléra,Masculin,6-17,3
2024-01-11,Mbuji-Mayi,Paludisme,Masculin,0-5,16
2024-01-11,Kinshasa,Rougeole,Masculin,60+,19
2024-01-11,Goma,Tuberculose,Féminin,6-17,20
2024-01-11,Kinshasa,Choléra,Masculin,0-5,11
2024-01-12,Kisangani,COVID-19,Féminin,6-17,20
2024-01-12,Lubumbashi,Choléra,Masculin,36-60,14
2024-01-12,Lubumbashi,Tuberculose,Masculin,6-17,10
2024-01-12,Goma,COVID-19,Féminin,60+,7
2024-01-12,Lubumbashi,Rougeole,Féminin,18-35,2
2024-01-12,Goma,Paludisme,Masculin,0-5,19
2024-01-12,Kinshasa,Rougeole,Féminin,36-60,16
2024-01-12,Kisangani,COVID-19,Féminin,36-60,18
2024-01-12,Kinshasa,Choléra,Masculin,6-17,20
2024-01-12,Kinshasa,Tuberculose,Féminin,0-5,8
2024-01-12,Lubumbashi,Rougeole,Masculin,60+,1
2024-01-13,Kinshasa,Paludisme,Féminin,0-5,13
2024-01-13,Goma,Paludisme,Masculin,6-17,5
2024-01-13,Kisangani,COVID-19,Masculin,60+,1
2024-01-13,Kinshasa,Paludisme,Masculin,0-5,17
2024-01-13,Kinshasa,COVID-19,Masculin,18-35,13
2024-01-13,Kinshasa,COVID-19,Féminin,60+,4
2024-01-14,Mbuji-Mayi,COVID-19,Féminin,0-5,9
2024-01-14,Goma,Tuberculose,Masculin,0-5,10
2024-01-14,Goma,COVID-19,Masculin,18-35,20
2024-01-14,Mbuji-Mayi,Choléra,Féminin,36-60,10
2024-01-14,Goma,COVID-19,Masculin,6-17,19
2024-01-15,Kisangani,Paludisme,Masculin,18-35,15
2024-01-15,Goma,Rougeole,Masculin,6-17,15
2024-01-15,Goma,Tuberculose,Masculin,36-60,18
2024-01-15,Mbuji-Mayi,Rougeole,Masculin,6-17,13
2024-01-15,Lubumbashi,Rougeole,Féminin,60+,8
2024-01-15,Kisangani,Choléra,Féminin,60+,7
2024-01-15,Kinshasa,Tuberculose,Masculin,60+,3
2024-01-16,Mbuji-Mayi,Rougeole,Féminin,0-5,20
2024-01-16,Goma,Choléra,Masculin,18-35,19
2024-01-16,Kinshasa,Rougeole,Masculin,18-35,6
2024-01-16,Kisangani,Paludisme,Féminin,36-60,17
2024-01-16,Kisangani,Rougeole,Masculin,0-5,17
2024-01-16,Kisangani,Choléra,Féminin,0-5,18
2024-01-16,Kisangani,Paludisme,Masculin,18-35,5
2024-01-16,Kisangani,Tuberculose,Masculin,36-60,3
2024-01-17,Mbuji-Mayi,COVID-19,Masculin,60+,11
2024-01-17,Goma,Paludisme,Féminin,18-35,8
2024-01-17,Kinshasa,Paludisme,Masculin,0-5,16
2024-01-17,Kisangani,Paludisme,Masculin,0-5,15
2024-01-17,Mbuji-Mayi,Paludisme,Masculin,36-60,2
2024-01-17,Goma,Choléra,Féminin,36-60,1
2024-01-17,Kinshasa,Tuberculose,Féminin,18-35,10
2024-01-18,Mbuji-Mayi,Paludisme,Féminin,36-60,6
2024-01-18,Lubumbashi,Tuberculose,Féminin,18-35,11
2024-01-18,Kinshasa,Rougeole,Masculin,60+,12
2024-01-18,Lubumbashi,Paludisme,Masculin,18-35,3
2024-01-18,Lubumbashi,Paludisme,Masculin,60+,7
2024-01-18,Lubumbashi,Choléra,Masculin,60+,9
2024-01-18,Kinshasa,COVID-19,Féminin,0-5,12
2024-01-18,Kisangani,Choléra,Féminin,36-60,12
2024-01-18,Goma,Rougeole,Féminin,6-17,14
2024-01-18,Kisangani,Choléra,Masculin,18-35,12
2024-01-18,Mbuji-Mayi,Rougeole,Féminin,0-5,18
2024-01-18,Lubumbashi,Rougeole,Masculin,0-5,4
2024-01-18,Kisangani,COVID-19,Féminin,0-5,15
2024-01-18,Goma,Choléra,Masculin,0-5,15
2024-01-19,Lubumbashi,Tuberculose,Féminin,0-5,9
2024-01-19,Kinshasa,Rougeole,Masculin,18-35,18
2024-01-19,Lubumbashi,Rougeole,Masculin,60+,16
2024-01-19,Kinshasa,Paludisme,Féminin,18-35,20
2024-01-19,Kisangani,Paludisme,Féminin,18-35,5
2024-01-19,Kisangani,Choléra,Féminin,18-35,19
2024-01-19,Goma,Tuberculose,Féminin,60+,15
